Precio,fecha
53.27,2024-03-29T16:09:57.459Z
53.41,2024-03-29T16:20:44.124Z
53.41,2024-03-29T16:20:44.124Z
53.25,2024-03-29T16:30:11.663Z
53.25,2024-03-29T16:30:11.663Z
53.27,2024-03-29T16:50:18.825Z
53.27,2024-03-29T16:50:18.825Z
53.03,2024-03-29T17:00:47.320Z
53.03,2024-03-29T17:00:47.320Z
53.08,2024-03-29T17:20:20.378Z
53.08,2024-03-29T17:20:20.378Z
52.9,2024-03-29T17:40:52.514Z
52.9,2024-03-29T17:40:52.514Z
53.06,2024-03-29T18:00:39.714Z
53.06,2024-03-29T18:00:39.714Z
53.09,2024-03-29T18:21:32.594Z
53.09,2024-03-29T18:21:32.594Z
53.07,2024-03-29T18:31:19.751Z
53.06,2024-03-29T18:43:13.557Z
53.05,2024-03-29T19:03:49.349Z
53.05,2024-03-29T19:03:49.349Z
53.0,2024-03-29T19:13:29.768Z
52.99,2024-03-29T19:33:13.233Z
52.99,2024-03-29T19:33:13.233Z
52.9,2024-03-29T19:43:40.020Z
53.02,2024-03-29T19:54:20.440Z
53.07,2024-03-29T20:03:50.333Z
53.07,2024-03-29T20:03:50.333Z
53.09,2024-03-29T20:13:43.412Z
53.04,2024-03-29T20:34:11.963Z
53.04,2024-03-29T20:34:11.963Z
52.83,2024-03-29T22:15:25.379Z
52.83,2024-03-29T22:15:25.379Z
54.11,2024-03-30T10:20:23.961Z
54.11,2024-03-30T10:20:23.961Z
54.11,2024-03-30T10:20:23.961Z
54.12,2024-03-30T10:30:12.600Z
54.05,2024-03-30T11:00:23.594Z
54.05,2024-03-30T11:00:23.594Z
54.12,2024-03-30T11:21:28.635Z
54.12,2024-03-30T11:21:28.635Z
54.0,2024-03-30T14:14:17.951Z
54.0,2024-03-30T14:14:17.951Z
54.08,2024-03-30T14:23:48.203Z
54.08,2024-03-30T14:23:48.203Z
53.97,2024-03-30T14:34:49.706Z
53.97,2024-03-30T14:34:49.706Z
53.97,2024-03-30T14:34:49.706Z
53.79,2024-03-30T14:44:18.763Z
53.79,2024-03-30T14:44:18.763Z
53.79,2024-03-30T14:44:18.763Z
53.84,2024-03-30T15:04:59.653Z
53.84,2024-03-30T15:04:59.653Z
53.84,2024-03-30T15:04:59.653Z
53.95,2024-03-30T15:14:57.257Z
53.95,2024-03-30T15:14:57.257Z
53.95,2024-03-30T15:14:57.257Z
53.75,2024-03-30T15:34:34.116Z
53.75,2024-03-30T15:34:34.116Z
53.75,2024-03-30T15:34:34.116Z
53.78,2024-03-30T15:45:01.576Z
53.78,2024-03-30T15:45:01.576Z
53.78,2024-03-30T15:45:01.576Z
53.72,2024-03-30T16:05:26.985Z
53.72,2024-03-30T16:05:26.985Z
53.72,2024-03-30T16:05:26.985Z
53.7,2024-03-30T16:15:41.041Z
53.7,2024-03-30T16:15:41.041Z
53.73,2024-03-30T16:35:45.322Z
53.72,2024-03-30T16:45:43.401Z
53.72,2024-03-30T16:45:43.401Z
53.88,2024-03-30T17:06:37.206Z
53.88,2024-03-30T17:06:37.206Z
53.72,2024-03-30T17:27:22.545Z
53.83,2024-03-30T17:36:35.309Z
53.81,2024-03-30T17:47:03.675Z
53.81,2024-03-30T17:47:03.675Z
53.82,2024-03-30T18:06:41.663Z
53.82,2024-03-30T18:06:41.663Z
53.9,2024-03-30T18:27:32.618Z
53.39,2024-03-30T19:48:37.645Z
53.39,2024-03-30T19:48:37.645Z
53.41,2024-03-30T20:58:51.661Z
53.41,2024-03-30T20:58:51.661Z
53.1,2024-03-30T22:40:31.271Z
53.1,2024-03-30T22:40:31.271Z
53.81,2024-03-31T10:35:14.038Z
53.81,2024-03-31T10:35:14.038Z
53.8,2024-03-31T10:55:15.963Z
53.78,2024-03-31T11:04:50.162Z
53.78,2024-03-31T11:04:50.162Z
53.72,2024-03-31T11:34:50.203Z
53.77,2024-03-31T11:45:17.574Z
53.77,2024-03-31T11:45:17.574Z
53.74,2024-03-31T12:04:57.129Z
53.74,2024-03-31T12:04:57.129Z
53.67,2024-03-31T12:24:55.962Z
53.67,2024-03-31T12:24:55.962Z
53.68,2024-03-31T12:45:08.286Z
53.68,2024-03-31T12:45:08.286Z
53.63,2024-03-31T13:05:01.551Z
53.63,2024-03-31T13:05:01.551Z
53.29,2024-03-31T16:37:03.393Z
53.29,2024-03-31T16:37:03.393Z
53.19,2024-03-31T16:57:24.451Z
53.21,2024-03-31T17:07:23.931Z
53.29,2024-03-31T17:17:25.946Z
53.29,2024-03-31T17:17:25.946Z
53.2,2024-03-31T17:37:12.581Z
53.23,2024-03-31T17:47:24.686Z
