Precio,fecha
185.81,2024-03-29T16:09:51.294Z
186.46,2024-03-29T16:20:27.115Z
186.46,2024-03-29T16:20:27.115Z
186.33,2024-03-29T16:30:16.763Z
186.33,2024-03-29T16:30:16.763Z
186.27,2024-03-29T16:50:11.264Z
186.27,2024-03-29T16:50:11.264Z
185.16,2024-03-29T17:00:44.759Z
185.16,2024-03-29T17:00:44.759Z
185.95,2024-03-29T17:20:01.114Z
185.95,2024-03-29T17:20:01.114Z
185.35,2024-03-29T17:40:50.456Z
185.35,2024-03-29T17:40:50.456Z
185.86,2024-03-29T18:00:50.404Z
185.86,2024-03-29T18:00:50.404Z
186.17,2024-03-29T18:21:58.716Z
186.17,2024-03-29T18:21:58.716Z
185.99,2024-03-29T18:32:31.321Z
186.08,2024-03-29T18:42:24.438Z
186.17,2024-03-29T19:03:13.403Z
186.17,2024-03-29T19:03:13.403Z
185.83,2024-03-29T19:12:51.984Z
186.13,2024-03-29T19:33:11.291Z
186.13,2024-03-29T19:33:11.291Z
186.1,2024-03-29T19:43:05.483Z
186.91,2024-03-29T19:54:14.976Z
187.47,2024-03-29T20:03:41.373Z
187.47,2024-03-29T20:03:41.373Z
187.93,2024-03-29T20:13:45.310Z
189.27,2024-03-29T20:33:41.321Z
189.27,2024-03-29T20:33:41.321Z
189.6,2024-03-29T22:14:40.667Z
189.6,2024-03-29T22:14:40.667Z
196.28,2024-03-30T10:21:04.243Z
196.28,2024-03-30T10:21:04.243Z
196.28,2024-03-30T10:21:04.243Z
196.26,2024-03-30T10:31:05.707Z
195.91,2024-03-30T11:00:17.711Z
195.91,2024-03-30T11:00:17.711Z
196.82,2024-03-30T11:21:39.864Z
196.82,2024-03-30T11:21:39.864Z
197.07,2024-03-30T14:14:36.291Z
197.07,2024-03-30T14:14:36.291Z
197.04,2024-03-30T14:24:01.567Z
197.04,2024-03-30T14:24:01.567Z
196.71,2024-03-30T14:34:29.568Z
196.71,2024-03-30T14:34:29.568Z
196.71,2024-03-30T14:34:29.568Z
196.18,2024-03-30T14:43:58.536Z
196.18,2024-03-30T14:43:58.536Z
196.18,2024-03-30T14:43:58.536Z
196.04,2024-03-30T15:04:27.917Z
196.04,2024-03-30T15:04:27.917Z
196.04,2024-03-30T15:04:27.917Z
196.65,2024-03-30T15:14:30.478Z
196.65,2024-03-30T15:14:30.478Z
196.65,2024-03-30T15:14:30.478Z
195.74,2024-03-30T15:34:16.852Z
195.74,2024-03-30T15:34:16.852Z
195.74,2024-03-30T15:34:16.852Z
196.18,2024-03-30T15:45:26.325Z
196.18,2024-03-30T15:45:26.325Z
196.18,2024-03-30T15:45:26.325Z
196.35,2024-03-30T16:05:16.338Z
196.35,2024-03-30T16:05:16.338Z
196.35,2024-03-30T16:05:16.338Z
196.41,2024-03-30T16:15:17.584Z
196.41,2024-03-30T16:15:17.584Z
196.98,2024-03-30T16:35:20.731Z
196.88,2024-03-30T16:45:43.437Z
196.88,2024-03-30T16:45:43.437Z
197.59,2024-03-30T17:06:45.123Z
197.59,2024-03-30T17:06:45.123Z
197.14,2024-03-30T17:27:24.808Z
197.61,2024-03-30T17:36:30.906Z
197.47,2024-03-30T17:46:30.247Z
197.47,2024-03-30T17:46:30.247Z
197.01,2024-03-30T18:07:10.533Z
197.01,2024-03-30T18:07:10.533Z
196.84,2024-03-30T18:27:31.357Z
195.38,2024-03-30T19:48:12.338Z
195.38,2024-03-30T19:48:12.338Z
195.05,2024-03-30T20:58:48.938Z
195.05,2024-03-30T20:58:48.938Z
196.04,2024-03-30T22:40:20.418Z
196.04,2024-03-30T22:40:20.418Z
196.73,2024-03-31T10:35:17.360Z
196.73,2024-03-31T10:35:17.360Z
196.48,2024-03-31T10:54:52.262Z
196.25,2024-03-31T11:04:27.295Z
196.25,2024-03-31T11:04:27.295Z
195.95,2024-03-31T11:34:58.067Z
195.88,2024-03-31T11:45:28.984Z
195.88,2024-03-31T11:45:28.984Z
196.05,2024-03-31T12:05:04.640Z
196.05,2024-03-31T12:05:04.640Z
195.94,2024-03-31T12:25:51.857Z
195.94,2024-03-31T12:25:51.857Z
196.0,2024-03-31T12:44:51.786Z
196.0,2024-03-31T12:44:51.786Z
196.43,2024-03-31T13:05:28.161Z
196.43,2024-03-31T13:05:28.161Z
195.91,2024-03-31T16:36:33.650Z
195.91,2024-03-31T16:36:33.650Z
196.3,2024-03-31T16:56:29.950Z
196.39,2024-03-31T17:06:49.729Z
196.77,2024-03-31T17:17:25.043Z
196.77,2024-03-31T17:17:25.043Z
196.73,2024-03-31T17:37:05.834Z
196.9,2024-03-31T17:47:14.431Z
