Precio,fecha
70222,2024-03-28T23:45:27.364Z
70167,2024-03-28T23:47:27.364Z
70180,2024-03-28T23:57:04.180Z
70227,2024-03-29T11:45:27.364Z
70167,2024-03-29T11:47:27.364Z
70180,2024-03-29T11:57:04.180Z
70178,2024-03-29T11:58:24.180Z
70184,2024-03-29T11:59:24.180Z
70183,2024-03-29T11:59:34.180Z
70181,2024-03-29T11:59:54.180Z
70250,2024-03-29T12:08:14.666Z
70150,2024-03-29T12:08:16.666Z
70258,2024-03-29T12:09:58.666Z
70131,2024-03-29T12:28:28.273Z
70131,2024-03-29T12:28:28.273Z
70131,2024-03-29T12:28:28.273Z
70133,2024-03-29T12:38:03.399Z
70163,2024-03-29T12:58:07.359Z
70117,2024-03-29T13:18:29.148Z
70404,2024-03-29T13:38:41.307Z
70404,2024-03-29T13:38:41.307Z
70511,2024-03-29T13:48:51.338Z
70511,2024-03-29T13:48:51.338Z
70423,2024-03-29T13:58:47.639Z
70423,2024-03-29T13:58:47.639Z
70448,2024-03-29T14:08:41.967Z
70448,2024-03-29T14:08:41.967Z
70484,2024-03-29T14:19:06.611Z
70372,2024-03-29T14:29:20.911Z
70484,2024-03-29T14:19:06.611Z
70484,2024-03-29T14:19:06.611Z
70335,2024-03-29T14:38:59.927Z
70335,2024-03-29T14:38:59.927Z
70360,2024-03-29T14:49:18.348Z
70360,2024-03-29T14:49:18.348Z
70090,2024-03-29T15:09:42.068Z
70090,2024-03-29T15:09:42.068Z
69948,2024-03-29T15:19:32.238Z
69948,2024-03-29T15:19:32.238Z
69259,2024-03-29T15:59:40.760Z
69259,2024-03-29T15:59:40.760Z
69259,2024-03-29T15:59:40.760Z
69369,2024-03-29T16:10:30.261Z
69491,2024-03-29T16:19:45.204Z
69491,2024-03-29T16:19:45.204Z
69366,2024-03-29T16:29:38.486Z
69366,2024-03-29T16:29:38.486Z
69452,2024-03-29T16:50:20.363Z
69452,2024-03-29T16:50:20.363Z
69197,2024-03-29T17:00:28.500Z
69197,2024-03-29T17:00:28.500Z
69451,2024-03-29T17:20:12.243Z
69451,2024-03-29T17:20:12.243Z
69372,2024-03-29T17:41:19.643Z
69372,2024-03-29T17:41:19.643Z
69433,2024-03-29T18:00:26.098Z
69433,2024-03-29T18:00:26.098Z
69505,2024-03-29T18:21:45.803Z
69505,2024-03-29T18:21:45.803Z
69534,2024-03-29T18:32:28.621Z
69525,2024-03-29T18:43:07.111Z
69475,2024-03-29T19:03:47.311Z
69475,2024-03-29T19:03:47.311Z
69454,2024-03-29T19:13:45.181Z
69492,2024-03-29T19:33:34.523Z
69492,2024-03-29T19:33:34.523Z
69494,2024-03-29T19:43:25.847Z
69616,2024-03-29T19:54:14.819Z
69715,2024-03-29T20:03:34.943Z
69715,2024-03-29T20:03:34.943Z
69660,2024-03-29T20:14:18.861Z
69693,2024-03-29T20:34:19.669Z
69693,2024-03-29T20:34:19.669Z
69604,2024-03-29T22:14:55.785Z
69604,2024-03-29T22:14:55.785Z
69992,2024-03-30T10:20:06.803Z
69992,2024-03-30T10:20:06.803Z
69992,2024-03-30T10:20:06.803Z
70051,2024-03-30T10:30:56.292Z
70046,2024-03-30T11:00:14.728Z
70046,2024-03-30T11:00:14.728Z
70129,2024-03-30T11:21:41.760Z
70129,2024-03-30T11:21:41.760Z
70162,2024-03-30T14:14:40.221Z
70162,2024-03-30T14:14:40.221Z
70194,2024-03-30T14:24:05.612Z
70194,2024-03-30T14:24:05.612Z
70172,2024-03-30T14:34:36.973Z
70172,2024-03-30T14:34:36.973Z
70172,2024-03-30T14:34:36.973Z
70058,2024-03-30T14:44:26.652Z
70058,2024-03-30T14:44:26.652Z
70058,2024-03-30T14:44:26.652Z
70129,2024-03-30T15:04:33.972Z
70129,2024-03-30T15:04:33.972Z
70129,2024-03-30T15:04:33.972Z
